Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
strike,V,"['2', '2']",we will strike a medal in your honour ,the boxer struck the attacker dead ,F
make,V,"['3', '0']",this invention will make you a millionaire ,make yourself clear ,T
light,N,"['8', '1']",i m really seeing you in a different light today ,the light of my life ,T
pay,V,"['0', '0']",pay an obligation ,pay a debt ,T
carry,V,"['0', '1']",carry the suitcases to the car ,amanda carried the package from home to new york ,T
dress,V,"['0', '0']",dress a turkey ,dress the patient ,F
carry,V,"['0', '2']",carry the suitcases to the car ,these pipes carry waste water into the river ,T
pull,V,"['0', '2']",pull a chicken ,the car pulls to the right ,F
drop,V,"['0', '2']",drop him from the republican ticket ,the cow dropped her calf this morning ,F
refill,N,"['5', '3']",the prescription specified only one refill ,he got a refill of his prescription ,T
area,N,"['3', '0']",it was his area of specialization ,areas of interest include ,T
society,N,"['9', '5']",it was then that they decided to found a society of didgeridooplaying unicyclists ,they formed a small lunch society ,T
product,N,"['4', '3']",his reaction was the product of hunger and fatigue ,skill is the product of hours of practice ,T
slack,N,"['5', '2']",suddenly they were in a slack and the water was motionless ,a gradual slack in output ,F
focus,V,"['1', '1']",please focus on your studies and not on your hobbies ,we focused on reading the book ,T
reason,N,"['7', '1']",if you do nt give me a reason to go with you  i wo nt ,the reason that war was declared ,T
cry,V,"['6', '1']",that sad movie always makes me cry ,she cried bitterly when she heard the news of his death ,T
break,V,"['6', '2']",if the new teacher wo nt break  we ll add some stress ,the clouds broke after the heavy downpour ,F
delivery,N,"['4', '2']",she had a difficult delivery ,his reluctant delivery of bad news ,F
place,N,"['4', '1']",he has a special place in my thoughts ,your place or mine ,F
picture,N,"['8', '3']",they could still receive the sound but the picture was gone ,she was the picture of despair ,F
study,N,"['4', '4']",he is a quick study ,no schools offer graduate study in interior design ,F
degree,N,"['6', '10']",a right angle is a ninety degree angle ,most humans have a field of vision of almost 180 degrees ,T
come,V,"['0', '2']",come out of the closet ,a scream came from the woman s mouth ,F
pool,N,"['5', '1']",the body lay in a pool of blood ,the pools of solomon ,T
throw,V,"['2', '0']",have  throw  or make a party ,throw a javelin ,F
concern,N,"['8', '4']",the employees  attitude is really hurting the concern ,a racially integrated business concern ,T
shed,V,"['0', '1']",shed your clothes ,he shed his image as a pushy boss ,T
head,N,"['3', '9']",he stuck his head out the window ,be careful when you pet that dog on the head  it may bite ,T
enthalpy,N,"['0', '10']",enthalpy is the amount of energy in a system capable of doing mechanical work ,h  u  p v  where h is enthalpy  u is internal energy  p is pressure  and v is volume ,T
underestimate,V,"['2', '1']",do nt underestimate the danger of such a raft trip on this river ,he underestimated the work that went into the renovation ,T
respect,N,"['7', '2']",he went to law school out of respect for his father s wishes ,he inspires respect ,F
scene,N,"['3', '5']",the most moving scene is the final one  where he realizes he has wasted his whole life ,the first act has three scenes ,T
rest,N,"['7', '5']",the gun was steadied on a special rest ,the ocean was finally at rest ,F
break,V,"['0', '2']",break a branch from a tree ,the twig broke off the branch ,T
enemy,N,"['5', '1']",rally together against a common enemy ,the enemy attacked at dawn ,T
eyeball,V,"['6', '7']",a good cook can often just eyeball the correct quantities of ingredients ,each geometric construction must be exact  eyeballing it and getting close does not count ,T
boy,N,"['1', '3']",the boys were playing kickball in the mud ,she made the boy brush his teeth every night ,T
part,N,"['1', '1']",the part of his hair was slightly to the left ,his part was right in the middle ,T
have,V,"['5', '0']",how many cars does she have ,have an assistant ,F
devotion,N,"['1', '1']",the devotion of his time and wealth to science ,their devotion to each other was beautiful ,F
ski,V,"['3', '4']",we love to ski the rockies ,my children do nt ski ,T
fun,N,"['5', '2']",they began to fight like fun ,he was fun to be with ,F
feeling,N,"['5', '3']",the surface had a greasy feeling ,she had a feeling of euphoria ,F
have,V,"['3', '0']",i wo nt have this dog in my house ,have  throw  or make a party ,F
mean,V,"['9', '3']",the sky is red this morning  does that mean we re in for a storm ,i did nt mean to knock your tooth out ,F
dullness,N,"['3', '3']",there was a dullness in his heart ,without him the dullness of her life crept into her work no matter how she tried to compartmentalize it ,T
furniture,N,"['9', '2']",the woman does not even have one stick of furniture moved in yet ,how much furniture did they leave behind ,T
shag,N,"['4', '3']",the dog s woolly shag ,he bought a shag rug ,F
stage,N,"['14', '7']",an early movie simply showed a long kiss by two actors of the contemporary stage ,we went out of town together by stage about ten or twelve miles ,F
degree,N,"['13', '3']",she has two bachelor s degrees and is studying towards a master s degree ,he earned his degree at princeton summa cum laude ,T
coverage,N,"['11', '3']",the enemy fire is increasing  can we get some immediate coverage from those bunkers ,the dictionary s coverage of standard english is excellent ,T
keep,V,"['9', '1']",our grant has run out and we can not keep you on ,we kept the work going as long as we could ,T
drive,V,"['0', '2']",drive the game ,she finally drove him to change jobs ,F
touch,N,"['2', '9']",the cooling touch of the night air ,suddenly  in the crowd  i felt a touch at my shoulder ,T
space,N,"['5', '5']",write your name in the space provided ,it all happened in the space of 10 minutes ,F
habit,N,"['4', '3']",it s become a habit of mine to have a cup of coffee after dinner ,it was their habit to dine at 7 every evening ,T
have,V,"['0', '1']",have a lover ,we had a hard year last year  with the locust swarms and all that ,F
use,V,"['0', '3']",use your head ,i ca nt use this tool ,T
enormity,N,"['5', '3']",in careful usage the noun enormity is not used to express the idea of great size ,universities recognized the enormity of their task ,T
tea,N,"['0', '6']",tea has fragrant white flowers ,we met at the dean s tea for newcomers ,F
impression,N,"['5', '3']",i wanted to create an impression of success ,he watched the impression of the seal on the hot wax ,F
certainty,N,"['4', '1']",his victory is a certainty ,his certainty reassured the others ,F
touch,V,"['3', '0']",he could not touch the meaning of the poem ,touch the stone for good luck ,F
field,N,"['3', '0']",the farmer s field was a civil war battleground  and relics such a minnie bullets were frequently found while plowing ,field of view ,F
extend,V,"['0', '2']",extend a hand ,my land extends over the hills on the horizon ,F
pick,V,"['0', '0']",pick up the tab ,pick up the burden of highinterest mortgages ,T
support,V,"['3', '2']",he does not support his natural children ,the scholarship supported me when i was in college ,T
action,N,"['2', '11']",the union action of emancipating southern slaves ,the united nations must have the power to propose and organize action without being hobbled by irrelevant issues ,T
unit,N,"['1', '2']",a unit of wheat is a bushel ,change per unit volume ,T
make,V,"['3', '6']",they hope to make a bigger profit ,you have to spend money to make money ,T
fish,N,"['5', '10']",the shark is a large fish ,in the living room there was a tank of colorful fish ,T
come,V,"['3', '2']",your wish will come true ,the shoes came untied ,T
drive,V,"['0', '2']",drive a car or bus ,she finally drove him to change jobs ,F
shift,V,"['3', '0']",you have to shift when you go down a steep hill ,shift one s position ,F
construction,N,"['4', '5']",he had worked in construction all his life ,their main business is home construction ,T
view,V,"['0', '0']",view a show on television ,view an exhibition ,T
trust,N,"['7', '3']",he is the beneficiary of a generous trust set up by his father ,he betrayed their trust ,F
unit,N,"['1', '6']",a unit of wheat is a bushel ,the dollar is the united states unit of currency ,T
work,V,"['0', '5']",work your way through every problem or task ,start from the bottom and work towards the top ,T
kill,V,"['0', '4']",kill a motion ,these new shoes are killing me ,F
admit,V,"['1', '2']",to admit a serious thought into the mind ,a ticket admits one into a playhouse ,T
apply,V,"['1', '3']",i apply this rule to get good results ,this thinking was applied to many projects ,T
last,N,"['4', '3']",he finished an inglorious last ,he was the last to leave ,T
court,N,"['7', '7']",the noblemen visited the queen in her court ,the king will visit the duke s court ,T
make,V,"['3', '4']",he did nt make the choir after his voice changed ,how much do you make a month in your new job ,T
head,N,"['3', '1']",they shot 20 head of quail ,200 head of cattle ,T
mount,V,"['0', '0']",mount an attack ,mount a play ,T
teach,V,"['2', '1']",can you teach me to sew ,i taught them french ,T
match,V,"['4', '4']",their interests did nt match  so it took a long time to agree what to do together ,matchmaker  can you match my daughter with a nice young man ,F
militate,V,"['1', '1']",to militate in favor of a particular result ,politeness militated against this opinion being expressed ,T
range,N,"['6', '5']",we hiked through the andes mountain range ,the valley was between two ranges of hills ,T
compare,V,"['3', '1']",you ca nt compare my problems and yours ,john compared his haircut to his friend s ,T
dibs,N,"['3', '0']",who s got dibs on the chips ,dibs means i get the hammock ,T
top,N,"['6', '4']",he stared as she buttoned her top ,put your books on top of the desk ,F
catch,V,"['11', '0']",i have some free time tonight so i think i ll catch a movie ,catch some sleep ,F
wall,N,"['4', '1']",we re adding another wall in this room during the remodeling ,stomach walls ,F
line,N,"['6', '4']",you must wait in a long line at the checkout counter ,he has a smooth line but i did nt fall for it ,F
bum,N,"['9', '4']",that guy keeps interrupting the concert  throw the bum out ,fred is becoming a bum  he s not even bothering to work more than once a month ,T
propagate,V,"['0', '3']",propagate sound or light through air ,sound and light propagate in this medium ,F
drop,V,"['2', '1']",new englanders drop their postvocalic r s ,she dropped acid when she was a teenager ,F
reduce,V,"['0', '2']",reduce a problem to a single question ,the cells reduce ,F
work,V,"['4', '4']",this method does nt work ,how does your idea work in practice ,T
unit,N,"['6', '6']",the dollar is the united states unit of currency ,the word is a basic linguistic unit ,F
wash,V,"['9', '3']",the car is so dirty  we need to wash it ,the swollen river washed away the footbridge ,F
poison,N,"['3', '1']",we used a poison to kill the weeds ,the poison of fascism ,F
feeling,N,"['5', '8']",the surface had a greasy feeling ,the wool on my arm produced a strange feeling ,T
drink,N,"['5', '0']",can i buy you a drink ,drink was his downfall ,F
movement,N,"['2', '7']",a broad movement of the electorate to the right ,he was a charter member of the movement ,F
confluence,N,"['7', '5']",we encountered an abandoned boat at the confluence of the mississippi and ohio rivers ,pittsburgh is located at the confluence of the allegheny and monongahela rivers ,T
admit,V,"['3', '2']",we can not admit nonmembers into our club building ,they were admitted into his house ,T
syrup,N,"['1', '1']",maple syrup ,pancake syrup ,T
face,N,"['6', '3']",put a big sign on each face of the building that can be seen from the road ,why the sad face ,F
application,N,"['6', '7']",it is a job requiring serious application ,december 31 is the deadline for mba applications ,F
be,V,"['4', '1']",when will the meeting be ,there were two hundred people at his funeral ,T
unravel,V,"['2', '3']",can you unravel the mystery ,mother could nt unravel the ball of wool after the cat had played with it ,T
end,N,"['1', '1']",the end of the year ,the end was exciting ,F
summer,V,"['3', '3']",we like to summer in the mediterranean ,my family always summered at the seashore ,T
empathize,V,"['4', '4']",you really have to empathize ,you really have to empathize with their doing it ,T
play,V,"['0', '0']",play football ,play cards ,T
smile,N,"['4', '4']",he has a sinister smile ,he always puts a smile on my face ,T
component,N,"['1', '2']",a component or constituent element of a system ,the smaller component is hard to reach ,F
point,N,"['4', '5']",to fall off a point ,the one with the most points will win the game ,F
raise,V,"['0', '8']",raise a smile ,chew with your mouth shut  were you raised in a barn ,F
line,N,"['4', '3']",they were arrayed in line of battle ,he drew a line on the chart ,F
term,N,"['7', '2']",he left school before the end of term ,a prison term ,T
life,N,"['1', '3']",the life of this milk carton may be thousands of years in this landfill ,there is no life on the moon ,F
drift,V,"['2', '3']",do nt drift from the set course ,the stock market drifted upward ,F
raise,V,"['0', '0']",raise hell ,raise the roof ,T
year,N,"['2', '3']",this chinese year is the year of the rooster ,she is 4 years old ,T
store,V,"['0', '2']",store grain for the winter ,the bear stores fat for the period of hibernation when he does nt eat ,T
stir,V,"['0', '0']",stir the soup ,stir emotions ,F
masquerade,N,"['5', '1']",i was invited to the masquerade at their home ,that masquerade of misrepresentation which invariably accompanied the political eloquence of romethomas de quincey ,T
connect,V,"['5', '4']",the local train does not connect with the amtrak train ,the planes do nt connect and you will have to wait for four hours ,T
head,N,"['7', '2']",we will consider performance issues under the head of future improvements ,under the head of minor roman poets ,T
give,V,"['0', '0']",give one s opinion ,give an excuse ,T
waste,N,"['3', '2']",much of the waste material is carried off in the sewers ,the trackless wastes of the desert ,F
play,V,"['2', '1']",can you play on this old recorder ,he plays the flute ,T
year,N,"['2', '3']",in the year 1920 ,she is 4 years old ,T
chair,N,"['9', '21']",he put his coat over the back of the chair and sat down ,all i need to weather a snowstorm is hot coffee  a warm fire  a good book and a comfortable chair ,T
flare,N,"['5', '2']",infection can cause a lupus flare ,a colitis flare ,T
satellite,N,"['5', '2']",the moon is a natural satellite of the earth ,many telecommunication satellites orbit at 36000 km above the equator ,F
hyponym,N,"['3', '3']",a is a hyponym of b means that  a is a type of b  ,british is a hyponym of european ,T
ball,N,"['6', '1']",the mayor threw out the first ball ,the ball rolled into the corner pocket ,T
impression,N,"['4', '5']",he made a good impression ,i wanted to create an impression of success ,T
monopoly,N,"['3', '2']",they have no monopoly on intelligence ,a land monopoly renders its holders  nearly almighty in an agricultural society ,T
freeze,V,"['11', '5']",do nt go outside wearing just a tshirt  you ll freeze ,the water in the bowl froze ,F
beat,V,"['0', '0']",beat the cream ,beat the egg whites ,T
identity,N,"['4', '7']",you can lose your identity when you join the army ,it was too dark to determine his identity ,F
start,N,"['4', '4']",he awoke with a start ,he woke with a start ,T
throw,V,"['0', '1']",throw a frisbee ,jane threw dinner together ,F
right,N,"['3', '9']",you have no right to go through my personal diary ,they are endowed by their creator with certain unalienable rights ,T
feel,V,"['6', '1']",my cold is gone  i feel fine today ,she felt sad after her loss ,T
snow,V,"['3', '2']",it started to snow ,it was snowing all night ,T
have,V,"['5', '3']",the only girl who would have him was the miller s daughter ,i wo nt have this dog in my house ,T
stand,V,"['2', '2']",can you stand the bookshelf up ,the law stands ,F
stand,V,"['2', '2']",here i stand  wondering what to do next ,i am standing my ground and wo nt give in ,T
be,V,"['2', '1']",i shall be writing to you soon ,he is a herpetologist ,F
sign,N,"['4', '3']",the hunters found deer sign at the end of the trail ,they welcomed the signs of spring ,T
stand,V,"['3', '1']",we had to stand for the entire performance ,they stood the statue on the pedestal ,T
be,V,"['2', '2']",i shall be writing to you soon ,it has been three years since my grandmother died   similar to my grandmother died three years ago  but emphasizes the intervening period  ,T
product,N,"['8', '6']",we ve got to sell a lot of product by the end of the month ,that store offers a variety of products ,T
grow,V,"['3', '2']",that acorn will grow into an oak tree ,the gardener grew that acorn into an oak tree ,T
spring,N,"['3', '8']",i spent my spring holidays in morocco ,the emerging buds were a sure sign of spring ,T
break,V,"['4', '4']",the newsman wanted to break a big story  something that would make him famous ,news of her death broke in the morning ,T
trial,N,"['1', '6']",a trial of progesterone failed to relieve the pain ,a sample for ten days free trial ,T
carry,V,"['1', '1']",i carry her image in my mind s eye ,i carry a lot of life insurance ,T
get,V,"['2', '4']",did you get it ,i just do nt get him ,T
case,N,"['5', '3']",it may rain in which case the picnic will be canceled ,latin has six cases  and remnants of a seventh ,F
point,V,"['6', '2']",if he asks for food  point him toward the refrigerator ,the dog pointed the dead duck ,F
tea,N,"['7', '4']",go to the supermarket and buy some tea ,would you like some tea ,F
implement,V,"['0', '14']",implement a procedure ,it s a good thought  but it will be a difficult thing to implement ,F
extend,V,"['2', '0']",can we extend the legs of this dining table ,extend the tv antenna ,F
shock,N,"['4', '8']",he was numb with shock ,the old car needed a new set of shocks ,F
concern,N,"['9', '3']",the safety of the ship is the captain s concern ,she felt strong concern for those less fortunate ,F
change,N,"['3', '3']",he attributed the change to their marriage ,can i get change for this  100 bill please ,F
tell,V,"['1', '1']",i tell you that man is a crook ,ellen told helen about the situation ,T
charge,V,"['3', '2']",i need to charge my car battery ,the teacher charged the children to memorize the poem ,F
monopoly,N,"['1', '4']",a monopoly on silver ,when you have a monopoly you can ask any price you like ,T
mean,V,"['1', '3']",i mean no harm ,i did nt mean to knock your tooth out ,T
smile,N,"['5', '3']",she s got a perfect smile ,she had a smile on her face ,T
face,V,"['0', '3']",face the lapels of the jacket ,an enormous dilemma faces us ,F
know,V,"['1', '6']",i know it s time ,it is vital that he not know ,T
purge,V,"['0', '0']",purge the water ,purge your mind ,T
do,V,"['3', '5']",will  100 do ,a  b  grade does nt suffice to get me into medical school ,T
unravel,V,"['2', '11']",can you unravel the mystery ,stop playing with the seam of the tablecloth  you will unravel it ,T
silence,N,"['3', '4']",he gestured for silence ,there was a shocked silence ,T
line,N,"['2', '9']",a shared line ,i tried to make a call  but the line was dead ,T
order,N,"['6', '5']",the machine is now in working order ,he put his desk in order ,T
make,V,"['4', '1']",how much do you make a month in your new job ,she makes more than he does  and works longer hours than he does  but she still does most of the housecleaning ,T
beat,V,"['0', '0']",beat one s breast ,beat one s foot rhythmically ,T
floor,N,"['1', '7']",the floor of a cave served the refugees as a home ,they needed rugs to cover the bare floors ,F
cut,V,"['3', '2']",the football player cut to his left to evade a tackle ,the car cut to the left at the intersection ,T
hegemony,N,"['7', '1']",the consolidation of the united states  hegemony over a new international economic system ,the hegemony of a single member state is not incompatible with a genuine confederation ,T
cover,V,"['8', '2']",when the pot comes to a boil  cover it and reduce the heat to medium ,the course covered all of western civilization ,F
strike,V,"['0', '0']",strike coins ,strike a pose ,F
admit,V,"['1', '1']",to admit a serious thought into the mind ,she admitted us ,T
flatten,V,"['14', '2']",as there was a lot of damage  we chose the heavy roller to flatten the pitch ,mary would flatten the dough before rolling it into pretzels ,T
time,N,"['7', '4']",he was a great actor in his time ,he waited a long time ,T
melt,V,"['0', '2']",melt butter ,the wax melted in the sun ,T
stick,N,"['6', '6']",the recipe calls for half a stick of butter ,fever left him weak on his sticks ,F
door,N,"['3', '7']",education is the door to success ,i knocked on the vice president s door ,F
charge,N,"['4', '2']",there will be a charge of five dollars ,the admission charge ,T
crown,V,"['0', '2']",crown my teeth ,the speech crowned the meeting ,F
figure,N,"['1', '7']",a figure of  17 was suggested ,the area covered can be seen from figure 2 ,F
change,N,"['8', '5']",i paid with a twenty and pocketed the change ,the product is undergoing a change in order to improve it ,F
take,V,"['1', '3']",i take aspirin every day to thin my blood ,i do nt take sugar in my coffee ,T
work,V,"['4', '2']",this method does nt work ,the medicine works only if you take it with a lot of water ,T
voice,N,"['3', '2']",the wee small voice of conscience ,the incessant voices of the artillery ,F
hand,N,"['2', '3']",the big hand counts the minutes ,on the one hand   but on the other hand ,F
gob,N,"['5', '6']",he s always stuffing his gob with fast food ,oi  you  shut your gob ,T
hand,N,"['3', '6']",give me a hand with the chores ,he kept trying to see my hand ,F
basket,N,"['6', '4']",the point guard drove toward the basket ,let s play some basket ,T
product,N,"['8', '1']",we ve got to sell a lot of product by the end of the month ,the product of 2 and 3 is 6 ,F
supplant,V,"['4', '3']",will online dictionaries ever supplant paper dictionaries ,the computer has supplanted the slide rule ,T
block,N,"['4', '4']",he reserved a large block of seats ,he held a large block of the company s stock ,T
carry,V,"['0', '1']",carry the suitcases to the car ,amanda carried the package to new york ,T
shade,N,"['8', '8']",an achievement that puts everything else in the shade ,his brother s success left him in the shade ,T
ride,V,"['2', '3']",do nt ride the clutch ,did you ever ride a camel ,F
opening,N,"['4', '6']",he slipped through an opening in the crowd ,a salamander darted out of an opening in the rocks ,T
sake,N,"['2', '3']",for the sake of argument ,died for the sake of his country ,F
help,V,"['2', '10']",this will help to prevent accidents ,i served him three times  and after that he helped himself ,F
system,N,"['9', '4']",we ca nt do it unless we establish some system around here ,the body has a system of organs for digestion ,F
light,N,"['7', '7']",hey  buddy  you got a light ,although he saw it in a different light  he still did not understand ,F
slowcoach,N,"['7', '2']",in england they call a slowpoke a slowcoach ,hey you slowcoaches in the back  get a move on ,T
make,V,"['3', '3']",he did nt make the choir after his voice changed ,they hope to make a bigger profit ,T
model,N,"['4', '1']",he is the very model of a modern major general ,a model of clarity ,T
stick,V,"['0', '0']",stick your thumb in the crack ,stick some feathers in the turkey before you serve it ,F
disengage,V,"['3', '0']",i want to disengage myself from his influence ,disengage the gears ,T
round,V,"['0', '1']",round off the amount ,ninetyfive rounds up to one hundred ,T
beat,V,"['0', '3']",beat on the door ,the sun was beating down on us ,F
breath,N,"['2', '4']",not a breath of scandal ever touched her ,there was nt a breath of air in the room ,F
inventory,N,"['10', '4']",they stopped selling in exact sizes in order to reduce inventory ,they carried a vast inventory of hardware ,T
sound,V,"['5', '0']",mariners on sailing ships would sound the depth of the water with a weighted rope ,sound the alarm ,F
system,N,"['5', '1']",he tried to understand their system of classification ,the system consists of a motor and a small computer ,F
vicinity,N,"['5', '6']",the plane crashed in the vicinity of asheville ,there is a hurricane in the vicinity of the bahamas ,T
course,N,"['5', '3']",the government took a firm course ,he took a course in basket weaving ,F
catch,V,"['3', '11']",i have to catch a train at 7 oclock ,i have some free time tonight so i think i ll catch a movie ,F
gift,N,"['5', '3']",the office is in the gift of the president ,she had a gift for playing the flute ,F
deal,N,"['7', '4']",he s a master of the business deal ,he got a good deal on his car ,F
reaction,N,"['8', '9']",the announcement of the verdict brought a violent reaction ,you were in the courtroom  what is your reaction ,T
image,N,"['7', '1']",the company tried to project an altruistic image ,the image of fx   x^2 is the set of all nonnegative real numbers if the domain of the function is the set of all real numbers ,F
catch,N,"['2', '5']",he played catch with his son in the backyard ,the kids love to play catch ,T
disposition,N,"['4', '3']",he has a happy disposition ,i have little disposition now to do as you say ,F
tell,V,"['1', '1']",please tell me how to do it ,ellen told helen about the situation ,T
end,N,"['1', '1']",one end of the box was marked ` this side up  ,the ends justify the means ,F
side,N,"['5', '4']",he is on the purchasing side of the business ,look on the bright side ,T
rest,N,"['4', '4']",he threw away the rest ,the boulder came to rest just behind the house after rolling down the mountain ,F
load,V,"['0', '1']",load the camera ,he loaded carbs into his system before the marathon ,T
answer,V,"['0', '1']",answer the telephone ,she answered the door ,T
patch,N,"['6', '16']",the world economy had a rough patch in the 1930s ,the storms last summer washed away parts of the road so we can expect some rough patches up ahead ,T
catch,V,"['0', '0']",catch fire ,catch the mood ,T
wall,N,"['1', '1']",the wall followed the road ,stomach walls ,F
break,V,"['5', '1']",the horse was tough to break ,i broke in the new intern ,T
shoot,V,"['0', '0']",shoot craps ,shoot a movie ,F
develop,V,"['0', '6']",develop a market for the new mobile phone ,many countries in asia are now developing at a very fast pace ,F
academy,N,"['2', '2']",the military academy at west point ,the french academy ,F
quarrel,N,"['5', '3']",we got into a silly quarrel about what food to order ,they had a quarrel ,T
surface,N,"['11', '5']",the cloth had a pattern of red dots on a white surface ,earthquakes originate far below the surface ,F
choice,N,"['1', '7']",your choice of colors was unfortunate ,the ice cream sundae is a popular choice for dessert ,T
develop,V,"['0', '2']",develop a market for the new mobile phone ,we must develop more potential customers ,T
application,N,"['1', '4']",the application of maximum thrust ,massage has farreaching medical applications ,T
ease,N,"['6', '5']",they put it into containers for ease of transportation ,a life of luxury and ease ,F
connection,N,"['4', '3']",my headache has no connection with me going out last night ,there was a connection via the internet ,F
song,N,"['1', '5']",the song of the wind ,thomas listened to his favorite song on the radio yesterday ,F
nose,N,"['6', '7']",red rum only won by a nose ,my horse lost the race by a nose ,T
home,N,"['7', '5']",he grew up in a good christian home ,there s no place like home ,T
follow,V,"['1', '2']",please follow the guide through the museum ,the ducklings followed their mother around the pond ,T
induct,V,"['5', '4']",there was a ceremony to induct the president of the academy ,the young geisha was inducted into the ways of her profession ,F
stimulate,V,"['0', '2']",stimulate my appetite ,this play stimulates ,F
day,N,"['2', '2']",in the day of the dinosaurs ,in the days of the roman empire ,T
thing,N,"['4', '6']",to say the same thing in other terms ,how can you say such a thing ,T
touch,N,"['3', '6']",he got in touch with his colleagues ,this room needs a woman s touch ,F
back,N,"['1', '4']",the back of the dental chair was adjustable ,he stood at the back of the stage ,F
answer,V,"['2', '4']",this may answer her needs ,a few words would answer ,F
loaf,N,"['1', '1']",meat loaf ,a loaf of cheese ,T
wall,N,"['6', '5']",competition was pushing them to the wall ,the wind blew against the walls of the tent ,F
port,V,"['0', '11']",port a rifle , the angelic squadron  began to hem him round with ported spears   milton  paradise lost  1667   book iv ,T
reflection,N,"['2', '3']",after careful reflection  i have decided not to vote for that proposition ,he studied his reflection in the mirror ,F
call,V,"['4', '4']",why do nt you call me in the morning ,why do nt you call tomorrow ,T
tease,V,"['0', '2']",tease wool ,the children teased the new teacher ,F
take,V,"['2', '3']",do you take me for a fool ,how should i take this message ,T
lie,V,"['0', '2']",lie dormant ,the snow lies on the roof ,F
effect,N,"['4', '5']",she retained that bold effect in her reproductions of the original painting ,he just did it for effect ,F
side,N,"['7', '6']",the patient was bleeding on the right side ,he had a pain in his side ,T
crack,V,"['1', '6']",to crack a whip ,the performance was fine until he cracked that dead baby joke ,F
sign,N,"['4', '2']",those clouds show little sign of raining soon ,he showed signs of strain ,T
run,N,"['7', '13']",the assembly line was on a 12hour run ,he went to las vegas and spent all his money over a threeday run ,T
analyze,V,"['0', '0']",analyze a specimen ,analyze a sentence ,T
label,N,"['6', '1']",we laughed at her because the label was still on her new sweater ,the label says this silk scarf should not be washed in the washing machine ,T
system,N,"['3', '2']",in a static system oil can not be replaced by water on a surface ,a vast system of production and distribution and consumption keep the country going ,F
side,N,"['10', '4']",the hypotenuse of a right triangle is always the longest side ,they painted all four sides of the house ,F
think,V,"['1', '1']",i think she is pretty  contrary to most people ,i think he is very smart ,T
system,N,"['1', '3']",a system generating hydrogen peroxide ,in a static system oil can not be replaced by water on a surface ,T
audience,N,"['4', '3']",the broadcast reached an audience of millions ,he requested an audience with the king ,F
goal,N,"['2', '2']",the winning goal came with less than a minute left to play ,my lifelong goal is to get into a hollywood movie ,F
floor,N,"['2', '1']",the pit floor showed where a ring of post holes had been ,the floor of the pelvis ,T
canvas,N,"['5', '7']",the movie demanded a dramatic canvas of sound ,the boxer picked himself up off the canvas ,F
mouth,N,"['3', '4']",he stuffed his mouth with candy ,he rode into the mouth of the canyon ,F
laugh,V,"['4', '1']",paul made a cheerful laugh ,paul laughed at mary ,T
session,N,"['2', '5']",a gossip session ,are we having a recording session   yes  we ve even got some session musicians to provide some brass   ,T
occasion,N,"['9', '6']",having people round for dinner was always quite an occasion at our house ,it was needed only on special occasions ,T
act,V,"['6', '2']",the breaks of my new car act quickly ,the dog acts ferocious  but he is really afraid of people ,F
resistance,N,"['6', '8']",he encountered a general feeling of resistance from many citizens ,these trees are widely planted because of their resistance to salt and smog ,F
view,N,"['7', '6']",he changed seat to get a complete view of the stage ,he tried to get a better view of it ,T
consult,V,"['2', '4']",you should consult the dictionary ,they were content to consult libraries   william whewell ,T
fall,V,"['0', '1']",fall into a trap ,she fell ill ,T
business,N,"['6', '15']",computers are now widely used in business ,he s such a poor cook  i ca nt believe he s still in business ,T
image,N,"['1', '5']",the image of fx   x^2 is the set of all nonnegative real numbers if the domain of the function is the set of all real numbers ,the number 6 is the image of 3 under f that is defined as fx   2x ,T
change,N,"['1', '3']",the change of government had no impact on the economy ,he inspected several changes before selecting one ,F
body,N,"['2', '7']",the student body ,they moved their arms and legs and bodies ,F
talk,V,"['4', '1']",they sat down to talk business ,we talk french sometimes ,T
repair,V,"['4', '1']",one can never fully repair the suffering and losses of the jews in the third reich ,he repaired to his cabin in the woods ,F
drive,V,"['1', '3']",you drive nails into wood with a hammer ,their debts finally drove them to sell the business ,F
charge,N,"['6', '3']",the battle began with a cavalry charge ,the newspaper published charges that jones was guilty of drunken driving ,F
origin,N,"['0', '1']",origin in sensation ,vegetable origins ,T
check,V,"['8', '0']",katie s sick  so i need to check up on her and see if she needs anything ,check the oil in your car once a month ,T
stroke,N,"['4', '6']",the pregnancy was a stroke of bad luck ,she applied the paint in careful strokes ,F
light,N,"['3', '10']",follow god s light ,magoon s governorship in cuba was viewed in a negative light by many cuban historians for years thereafter ,F
hold,V,"['2', '2']",i ll hold you by your promise ,he s held by a contract ,T
book,N,"['5', '3']",they run things by the book around here ,she opened the book to page 37 and began to read aloud ,F
connect,V,"['2', '1']",can you connect the two loudspeakers ,herman connected the computers together ,T
image,N,"['7', '3']",the company tried to project an altruistic image ,although her popular image was contrived it served to inspire music and pageantry ,T
grace,N,"['2', '4']",god s grace is manifested in the salvation of sinners ,there but for the grace of god go i ,T
keep,V,"['0', '1']",keep food for a week in the pantry ,she keeps a sixpack and a week s worth of supplies in the refrigerator ,T
support,N,"['5', '6']",his faith was all the support he needed ,they developed a scheme of mutual support ,F
skeleton,N,"['5', '2']",the battalion was a mere skeleton of its former self ,the bare skeleton of a novel ,T
